Teams,Maps,Won-Lost,Pistol_Win_%,Round_2_Conversion,Round_2_Break
Astralis,1089,540 - 549,49.6%,82.5%,22.2%
SK,664,328 - 336,49.4%,81.8%,24.2%
Space Soldiers,541,270 - 271,49.9%,84.1%,15.1%
Natus Vincere,1056,508 - 548,48.1%,78.9%,22.8%
Liquid,1233,646 - 587,52.4%,83.4%,19.3%
FURIA,488,241 - 247,49.4%,75.9%,22.7%
Vitality,535,283 - 252,52.9%,74.6%,19.4%
FaZe,1077,545 - 532,50.6%,79.6%,20.5%
AVANGAR,555,257 - 298,46.3%,84.0%,16.1%
forZe,736,362 - 374,49.2%,77.8%,17.9%
mousesports,1199,608 - 591,50.7%,79.8%,22.5%
Kinguin,604,298 - 306,49.3%,78.8%,19.6%
Cloud9,1056,544 - 512,51.5%,80.1%,21.3%
G2,1178,560 - 618,47.5%,82.3%,16.2%
NRG,682,348 - 334,51.0%,83.0%,16.5%
Gambit,743,355 - 388,47.8%,79.1%,25.0%
Heroic,1074,522 - 552,48.6%,80.8%,20.8%
fnatic,1146,561 - 585,49.0%,78.8%,20.9%
OpTic,781,387 - 394,49.6%,82.4%,20.3%
TYLOO,528,265 - 263,50.2%,80.0%,22.1%
BIG,865,431 - 434,49.8%,78.7%,22.6%
MIBR,517,241 - 276,46.6%,77.6%,30.4%
North,796,384 - 412,48.2%,80.0%,17.5%
Sprout,810,416 - 394,51.4%,75.4%,12.9%
NIP,1076,481 - 595,44.7%,76.5%,17.8%
Renegades,745,374 - 371,50.2%,79.6%,19.7%
Spirit,875,446 - 429,51.0%,73.5%,22.4%
HellRaisers,1099,542 - 557,49.3%,79.2%,21.5%
AGO,886,463 - 423,52.3%,80.8%,16.8%
HAVU,630,308 - 322,48.9%,78.8%,21.4%
Windigo,484,245 - 239,50.6%,88.2%,25.9%
Luminosity,686,334 - 352,48.7%,82.0%,18.5%
Epsilon,525,268 - 257,51.0%,78.0%,21.0%
Dignitas,717,351 - 366,49.0%,83.2%,19.7%
GODSENT,721,355 - 366,49.2%,80.8%,23.5%
Envy,832,404 - 428,48.6%,79.7%,23.6%
ENCE,675,314 - 361,46.5%,80.9%,18.3%
Tricked,657,299 - 358,45.5%,79.5%,13.2%
Nemiga,490,236 - 254,48.2%,78.0%,22.5%
Complexity,900,451 - 449,50.1%,79.8%,22.7%
ALTERNATE aTTaX,623,278 - 345,44.6%,75.8%,18.0%
Virtus.pro,1210,532 - 678,44.0%,76.1%,16.5%
Movistar Riders,481,218 - 263,45.3%,76.6%,9.9%
LDLC,581,269 - 312,46.3%,80.3%,20.8%
CLG,435,192 - 243,44.1%,82.3%,12.3%
FlipSid3,431,195 - 236,45.2%,76.4%,15.3%
