Team,Maps,K-D_Diff,K/D,Rating(2.0)
Astralis,148,+1458,1.12,1.09
Evil Geniuses,56,-11,1.00,1.07
North,93,+105,1.01,1.07
Heroic,155,+638,1.05,1.06
Liquid,112,+9,1.00,1.06
mousesports,126,+389,1.04,1.06
G2,127,+300,1.03,1.06
Vitality,92,+89,1.01,1.05
Natus Vincere,126,+260,1.02,1.05
forZe,65,+50,1.01,1.05
Complexity,69,+7,1.00,1.05
OpTic,77,-132,0.98,1.04
Spirit,67,+22,1.00,1.04
FaZe,117,+273,1.03,1.03
Envy,68,+213,1.04,1.03
Sprout,58,-17,1.00,1.03
FURIA,78,-50,0.99,1.03
BIG,82,-19,1.00,1.03
ENCE,66,-309,0.95,1.02
NIP,122,+66,1.01,1.02
Virtus.pro,80,-98,0.99,1.02
GODSENT,55,-115,0.98,1.00
fnatic,57,-281,0.95,0.98
