Team,Pistol_Round_Win_%,K/R,Win/Loss
astralis,0.96,0.58,2.092
astralis,0.99,0.67,2.092
astralis,1.02,0.66,2.092
astralis,1.1,0.71,2.092
astralis,0.92,0.61,2.092
liquid,1.11,0.78,1.497
liquid,1.12,0.6,1.497
liquid,1.15,0.73,1.497
liquid,1.07,0.73,1.497
liquid,1.02,0.7,1.497
faze,0.91,0.63,1.276
faze,1.04,0.72,1.276
faze,1.27,0.78,1.276
faze,1.18,0.74,1.276
faze,1.11,0.68,1.276
forze,1.03,0.67,1.407
forze,1.13,0.73,1.407
forze,1.02,0.68,1.407
forze,1.18,0.75,1.407
forze,1.07,0.69,1.407
tyloo,1.14,0.74,2.065
tyloo,1.13,0.75,2.065
tyloo,1.1,0.73,2.065
tyloo,1.07,0.73,2.065
tyloo,1.24,0.8,2.065
